Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'15"  Longitud: 19°30'45"  Altitud: 1369

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL

31/01/2019 15:30          90         196        0.70        1.50        16.0          88       868.2         0.0       273.0
31/01/2019 15:40          65         160        0.80        1.40        16.7          81       868.3         0.0       302.0
31/01/2019 15:50          66         152        1.10        2.60        16.7          77       868.4         0.0       316.0
31/01/2019 16:00         102         244        1.10        2.50        17.1          72       868.4         0.0       279.0
31/01/2019 16:10         111         250        1.30        2.70        18.2          67       868.5         0.0       853.0
31/01/2019 16:20         138         229        1.40        2.60        18.9          63       868.5         0.0       801.0
31/01/2019 16:30         111         254        1.60        2.90        19.0          60       868.5         0.0       320.0
31/01/2019 16:40         119         281        1.30        2.70        17.4          65       868.5         0.0       193.0
31/01/2019 16:50         153         330        0.90        3.30        17.2          67       868.5         0.0       200.0
31/01/2019 17:00         185         309        1.30        3.90        16.9          71       868.4         0.0       215.0
31/01/2019 17:10         144         321        1.00        2.40        17.1          68       868.3         0.0       202.0
31/01/2019 17:20          52         208        0.70        2.00        17.1          67       868.3         0.0       247.0
31/01/2019 17:30          60         207        1.00        2.10        17.2          69       868.2         0.0       327.0
31/01/2019 17:40         162          23        1.40        2.90        17.6          62       868.0         0.0       321.0
31/01/2019 17:50         123         256        0.80        2.00        19.1          62       867.9         0.0       378.0
31/01/2019 18:00         174           4        1.50        3.50        18.6          61       867.8         0.0       378.0
31/01/2019 18:10         155         248        1.30        3.40        18.7          60       867.7         0.0       300.0
31/01/2019 18:20         114         176        1.90        3.30        18.2          61       867.5         0.0       346.0
31/01/2019 18:30         119         190        1.80        4.50        19.4          60       867.4         0.0       908.0
31/01/2019 18:40         118         223        2.00        4.20        19.2          58       867.3         0.0       282.0
31/01/2019 18:50         130         256        1.70        4.00        19.0          58       867.2         0.0       308.0
31/01/2019 19:00         145         252        1.10        4.10        19.2          58       867.1         0.0       357.0
31/01/2019 19:10         149         272        1.60        4.80        19.5          57       866.9         0.0       445.0
31/01/2019 19:20         137         279        2.10        4.40        20.0          56       866.8         0.0       336.0
31/01/2019 19:30         105         207        2.00        4.00        20.0          60       866.7         0.0       644.0
31/01/2019 19:40         143         275        2.60        5.70        19.7          62       866.6         0.0       308.0
31/01/2019 19:50         118         194        2.70        5.70        18.7          66       866.6         0.0       283.0
31/01/2019 20:00         130         214        2.40        4.30        19.7          65       866.3         0.0       608.0
31/01/2019 20:10         129         284        2.60        5.20        18.6          72       866.2         0.0       291.0
31/01/2019 20:20         119         298        2.80        5.60        19.2          68       866.0         0.0       949.0
31/01/2019 20:30         135         294        2.20        4.60        20.1          64       865.9         0.0       369.0
31/01/2019 20:40         145         327        2.10        4.40        20.1          63       865.8         0.0       474.0
31/01/2019 20:50         131         222        2.10        3.90        19.9          64       865.8         0.0       540.0
31/01/2019 21:00         140         223        1.60        3.70        19.4          66       865.8         0.0       301.0
31/01/2019 21:10         145         228        1.70        4.50        18.8          70       865.8         0.0       185.0
31/01/2019 21:20         145         252        1.60        4.00        18.9          70       865.7         0.0       582.0
31/01/2019 21:30         128         245        2.20        4.30        20.1          66       865.6         0.0       188.0
31/01/2019 21:40         140         290        1.80        4.80        20.4          65       865.5         0.0       535.0
31/01/2019 21:50         137         228        2.10        4.70        20.8          62       865.4         0.0       577.0
31/01/2019 22:00         134         204        2.50        6.20        20.8          62       865.4         0.0       459.0
31/01/2019 22:10         126         180        2.50        4.80        20.1          65       865.4         0.0       541.0
31/01/2019 22:20         133         210        2.60        4.80        19.3          68       865.4         0.0       253.0
31/01/2019 22:30         168         233        2.00        4.40        19.5          67       865.3         0.0       401.0
31/01/2019 22:40         158         250        1.80        4.30        19.1          70       865.4         0.0        66.0
31/01/2019 22:50         151         225        1.80        4.70        18.1          74       865.4         0.0        76.0
