FECHA PRECIP  EVAP   TMAX   TMIN
01/01/1990  0     Nulo    5     -4 
02/01/1990  0     Nulo    12    -4 
03/01/1990  0     Nulo    8      4 
04/01/1990  0     Nulo    7     -2 
05/01/1990  0     Nulo    6     -4 
06/01/1990  0     Nulo    5     -4 
07/01/1990  0     Nulo    1     -5 
08/01/1990  0     Nulo    5     -8 
09/01/1990  0     Nulo    5     -5 
10/01/1990  0     Nulo    5     -5 
11/01/1990  0     Nulo    12    -5 
12/01/1990  0     Nulo    9      5 
13/01/1990  0     Nulo    5     -3 
14/01/1990  0     Nulo    5     -4 
15/01/1990  0     Nulo    16    -4 
16/01/1990  0     Nulo    12     7 
17/01/1990  0     Nulo    12    -4 
18/01/1990  0     Nulo    8      3 
19/01/1990  0     Nulo    2     -5 
20/01/1990  0     Nulo    5     -7 
21/01/1990  0     Nulo    7     -5 
22/01/1990  1.3   Nulo    16    -1 
23/01/1990  0     Nulo    13     4 
24/01/1990  0     Nulo    10     5 
25/01/1990  0     Nulo    4     -2 
26/01/1990  0     Nulo    6     -6 
27/01/1990  0     Nulo    12    -2 
28/01/1990  0     Nulo    9      5 
29/01/1990  0     Nulo    7     -3 
30/01/1990  0     Nulo    16    -2 
31/01/1990  1     Nulo    12     7 
01/02/1990  0     Nulo    7     -1 
02/02/1990  0     Nulo    9     -3 
03/02/1990  0     Nulo    3     -6 
04/02/1990  0     Nulo    6     -6 
05/02/1990  0     Nulo    6     -3 
06/02/1990  0     Nulo    7     -6 
07/02/1990  0     Nulo    13    -2 
08/02/1990  0     Nulo    11    -9 
09/02/1990  0     Nulo    7     -3 
10/02/1990  0     Nulo    6     -4 
11/02/1990  0     Nulo    6     -3 
12/02/1990  0     Nulo    6     -3 
13/02/1990  2     Nulo    10    -3 
14/02/1990  1     Nulo    12    -4 
15/02/1990  0     Nulo    8      5 
16/02/1990  0     Nulo    6      3 
17/02/1990  0     Nulo    5     -4 
18/02/1990  0     Nulo    5     -4 
19/02/1990  0     Nulo    6     -4 
20/02/1990  0     Nulo    6      2 
21/02/1990  0     Nulo    6     -3 
22/02/1990  0     Nulo    7     -3 
23/02/1990  0     Nulo    7     -2 
24/02/1990  0     Nulo    7     -3 
25/02/1990  0     Nulo    12    -3 
26/02/1990  0     Nulo    10     4 
27/02/1990  0     Nulo    13     2 
28/02/1990  0     Nulo    10     4 
01/03/1990  0     Nulo    8     -1 
02/03/1990  0     Nulo    9     -2 
03/03/1990  0     Nulo    12     1 
04/03/1990  0     Nulo    15     4 
05/03/1990  0     Nulo    16     7 
06/03/1990  0     Nulo    12     8 
07/03/1990  0     Nulo    9      1 
08/03/1990  0.9   Nulo    12     1 
09/03/1990  1.6   Nulo    16     3 
10/03/1990  0     Nulo    13     8 
11/03/1990  0     Nulo    9      5 
12/03/1990  0     Nulo    12     1 
13/03/1990  0     Nulo    8      3 
14/03/1990  0     Nulo    5     -3 
15/03/1990  0     Nulo    6     -4 
16/03/1990  0     Nulo    9     -3 
17/03/1990  0     Nulo    9      2 
18/03/1990  0     Nulo    9      2 
19/03/1990  0     Nulo    11     2 
20/03/1990  0     Nulo    15     2 
21/03/1990  0     Nulo    14     4 
22/03/1990  0     Nulo    14     4 
23/03/1990  0     Nulo    14     4 
24/03/1990  0     Nulo    14     4 
25/03/1990  0     Nulo    14     4 
26/03/1990  0     Nulo    21     5 
27/03/1990  0     Nulo    18     12 
28/03/1990  0     Nulo    16     6 
29/03/1990  0     Nulo    13     8 
30/03/1990  0     Nulo    15     0 
31/03/1990  0     Nulo    17     6 
01/04/1990  0     Nulo    17     8 
02/04/1990  0     Nulo    13     8 
03/04/1990  0     Nulo    12     5 
04/04/1990  0     Nulo    14     4 
05/04/1990  0     Nulo    13     6 
06/04/1990  0     Nulo    13     4 
07/04/1990  0     Nulo    15     4 
08/04/1990  0     Nulo    13     5 
09/04/1990  0     Nulo    13     5 
10/04/1990  0     Nulo    14     5 
11/04/1990  0     Nulo    16     5 
12/04/1990  0     Nulo    16     7 
13/04/1990  0     Nulo    16     6 
14/04/1990  0     Nulo    16     8 
15/04/1990  0     Nulo    16     8 
16/04/1990  0     Nulo    18     7 
17/04/1990  0     Nulo    22     10 
18/04/1990  0     Nulo    18     13 
19/04/1990  0     Nulo    16     8 
20/04/1990  0     Nulo    16     7 
21/04/1990  0     Nulo    16     7 
22/04/1990  0     Nulo    18     7 
23/04/1990  0     Nulo    21     9 
24/04/1990  0     Nulo    20     12 
25/04/1990  0     Nulo    15     10 
26/04/1990  0     Nulo    16     5 
27/04/1990  0     Nulo    16     8 
28/04/1990  0     Nulo    17     8 
29/04/1990  0     Nulo    20     9 
30/04/1990  0     Nulo    18     11 
01/05/1990  0     Nulo    18     9 
02/05/1990  0     Nulo    15     10 
03/05/1990  0     Nulo    17     6 
04/05/1990  0     Nulo    17     8 
05/05/1990  0     Nulo    22     8 
06/05/1990  0     Nulo    18     13 
07/05/1990  0     Nulo    19     9 
08/05/1990  0     Nulo    18     8 
09/05/1990  0     Nulo    19     9 
10/05/1990  0     Nulo    20     10 
11/05/1990  0     Nulo    22     10 
12/05/1990  0     Nulo    22     14 
13/05/1990  0     Nulo    23     14 
14/05/1990  0     Nulo    23     15 
15/05/1990  0     Nulo    23     15 
16/05/1990  0     Nulo    22     15 
17/05/1990  0     Nulo    23     14 
18/05/1990  0     Nulo    23     15 
19/05/1990  0     Nulo    23     16 
20/05/1990  0     Nulo    20     16 
21/05/1990  0     Nulo    21     12 
22/05/1990  0     Nulo    23     13 
23/05/1990  0     Nulo    24     15 
24/05/1990  0     Nulo    24     16 
25/05/1990  0     Nulo    24     16 
26/05/1990  0     Nulo    23     16 
27/05/1990  0     Nulo    24     15 
28/05/1990  0     Nulo    24     16 
29/05/1990  0     Nulo    24     16 
30/05/1990  0     Nulo    24     16 
31/05/1990  0     Nulo    24     16 
01/06/1990  0     Nulo    23     15 
02/06/1990  0     Nulo    24     16 
03/06/1990  0     Nulo    25     17 
04/06/1990  0     Nulo    25     17 
05/06/1990  0     Nulo    26     17 
06/06/1990  0.9   Nulo    27     17 
